RA vs C ,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA,,RA vs C,SFN vs C,UA vs C,RA+SFN vs RA,RA+UA vs RA
ACTG1,ACTG1,ACTG1,ACTG1,ACTG1,,-0.117709269,-0.058027808,-0.137470752,0.156435302,-0.018435073
ACTG1P17,ACTG1P17,ACTG1P17,ACTG1P17,ACTG1P17,,-1.880616746,-0.35060063,-0.752507201,-0.181619535,1.080348602
ACTG1P20,ACTG1P20,ACTG1P20,ACTG1P20,ACTG1P20,,0.010448882,-0.073066655,0.311623137,-0.451424898,-0.317682472
ACTL6A,ACTL6A,ACTL6A,ACTL6A,ACTL6A,,-0.155724282,-0.054050945,-0.019385654,-0.290036543,-0.183461007
ACTL8,ACTL8,ACTL8,ACTL8,ACTL8,,-0.870051579,-0.139011966,-0.017601079,-1.481873854,-0.827085118
ACTN1,ACTN1,ACTN1,ACTN1,ACTN1,,0.072199598,0.084933839,0.07660824,0.079388769,0.01580862
ACTN4,ACTN4,ACTN4,ACTN4,ACTN4,,0.229962274,0.024731445,0.008077259,0.250062981,0.307699347
ACTR10,ACTR10,ACTR10,ACTR10,ACTR10,,0.052585126,0.057227538,0.161446787,0.108662934,-0.022920857
ACTR1A,ACTR1A,ACTR1A,ACTR1A,ACTR1A,,-0.055474765,0.010556459,-0.094866892,0.162964163,0.067849496
ACTR1B,ACTR1B,ACTR1B,ACTR1B,ACTR1B,,0.060882544,0.007790454,0.060302434,-0.119897754,-0.034188749
ACTR2,ACTR2,ACTR2,ACTR2,ACTR2,,0.371430773,0.010183547,0.00959392,0.522338274,0.271500548
ACTR3,ACTR3,ACTR3,ACTR3,ACTR3,,0.26351462,-0.013248772,-0.027530968,0.419700011,0.258844088
ACTR3B,ACTR3B,ACTR3B,ACTR3B,ACTR3B,,-0.015079259,0.010498062,0.167558784,-0.200712216,-0.092918736
ACTR5,ACTR5,ACTR5,ACTR5,ACTR5,,-0.204749112,-0.107278846,0.06675535,-0.477356962,-0.302214253
ACTR6,ACTR6,ACTR6,ACTR6,ACTR6,,-0.096165656,-0.110050654,-0.043682087,-0.132037506,-0.152948194
ACTR8,ACTR8,ACTR8,ACTR8,ACTR8,,-0.043599595,0.105707342,0.015022975,0.138727794,0.136088247
ACVR1,ACVR1,ACVR1,ACVR1,ACVR1,,1.489332863,1.064436869,0.775871772,1.202005012,0.092538011
ACVR1B,ACVR1B,ACVR1B,ACVR1B,ACVR1B,,0.475569416,-0.054885426,0.128538491,0.736722223,0.401159063
ACVR2A,ACVR2A,ACVR2A,ACVR2A,ACVR2A,,-1.280547353,-0.598528144,-0.328009372,-1.384559593,0.270419736
ACVR2B,ACVR2B,ACVR2B,ACVR2B,ACVR2B,,0.41574873,0.195576681,0.355912535,-0.205663925,-0.022171426
ACY1,ACY1,ACY1,ACY1,ACY1,,-0.802006912,0.00554318,0.142795421,-1.251293062,-0.830778987
